Giant Cherry Bomb,巨型櫻桃炸彈
Spicy Power Juice,辣味能量果汁
Pasta Spring Shoes,義大利麵彈簧鞋
Pineapple Helmet,鳳梨頭盔
Desert Oasis,沙漠綠洲
Jelly Pom-Poms,捲尺糖彩球
Tropical Slushie,熱帶冰沙
Broken Signpost,壞掉的路牌
Super-Vita Jelly Bar,果凍能量棒
Star Candy Road,星星糖小徑
Ancient Forest Luckstone,遠古森林的封印石
Wanderer's Apple Pie,流浪者的蘋果派
Stinging Nettle,恐怖蕁麻葉
Tasty First Aid Kit,果醬派急救箱
Awakening Ancient Forest,重現生機的遠古森林
Prickly Cacti Gloves,刺刺仙人掌手套
Prickly Cactus Bat,刺刺仙人掌球棒
Wind-Up Pocket Watch,發條懷錶
Erratic Yakgwa Robot,暴走的藥果機器人
Carrot Jelly Stew,熱呼呼的紅蘿蔔果凍湯
Carrot Farm Scarecrow,蘿蔔田稻草人
Diving Goggles,潛水鏡
Jellied Jellyfish Potion,果凍水母藥水
Salt Crystal Trident,鹽晶體三叉戟
Hermit Crab's Shell,螺旋麵包寄居蟹的新居
Whipped Snowcream Village,鮮奶油雪村
Forbidden Incantation,禁忌魔咒
Dragon's Breath,龍之氣息
Yew Village Scroll,紅豆杉村移動卷軸
Abandoned Cloud Nest,空蕩的雲朵巢穴
Blue Dragon's Eye,青龍之眼
Mushroom Spore Punch,蘑菇孢子綜合果汁
Soul Jam: Light of Passion,靈魂果醬: 熱情之光
Miniature Dragon Boat,龍頭獨木舟模型
Oath on the Shield,盾之誓
Banquet of Victory,慶功宴
Passionate Hollyberry Kingdom,熱情浪漫的聖莓果王國
Dragon's Valley,龍之峽谷
Golden Cheese Guardian Golem,黃金起司守護者泥人
Soul Jam: Light of Abundance,靈魂果醬: 富饒之光
Cheesepad Tablet,起司石碑平板
Golden Monarch's Counterattack,至尊國君的反擊
Golden Cheese Colosseum,黃金樂園的競技場
Kingdom of Eternal Abundance,永遠富饒的黃金起司王國
Golden City's Control Chamber,黃金城市控制室
Soul Jam: Light of Freedom,靈魂果醬: 自由之光
Faerie Kingdom's Music,妖精王國樂譜
Elder Faerie's Sword,妖精王之劍
The New Guardian's Power,守護者傳承之力
Puppet Theater of Chaos,混沌的木偶劇
Ancient Silver Tree,古代的封印樹
Mystical Faerie Kingdom,銀白色的神祕妖精王國
Sword of Radiant Light,光之護佑佩劍
Soul Jam: Light of Truth,靈魂果醬: 真理之光
Old Vanilla Orchid Locket,古典香草花墜飾
Convocation of Elders,元老會議的決議
Radiant Coronation,榮耀的加冕儀式
Glorious Crème Republic,榮耀之光·鮮奶油共和國
Peaceful Vanilla Kingdom,祥和的香草王國
Bittersweet Incense,苦甜的香爐
Soul Jam: Light of Resolution,靈魂果醬: 決心之光
First Watcher's Bow,忠誠戰士的神弓箭
Chocolate Altar of the Fallen,紀念碑前的默哀
Founding Resolution,酷寒的決心
Roiling Licorice Sea,波濤洶湧的甘草海
Resolute Dark Cacao Kingdom,堅忍的黑可可王國
Age of Heroes and Kingdoms,英雄與王國的時代
Magma Pendulum,熔岩擺飾
Ring of Eternal Flame,火焰指環
Essence of Conflagration,火焰結晶
Battle on the Edge,懸崖對決
Scovillia Training Grounds,斯科維利亞訓練所
Essence of Rejuvenation,生命結晶
Millennial Twig,千年的老樹枝
Millennial Jade Deer,純正千年玉鹿
Heaven-Splitting Lightning,開天闢地的轟雷
Millennial Temple,千年樹神殿
Wind Gems,風之結晶
Swan Feather Dreamcatcher,天鵝羽捕夢網
Night Raven's Arrow,虛空之箭
Spring Festival,紀念春天的節慶
Dessert Paradise,甜點天堂
Heart of the Deep Sea,深海的傳說心臟
Tide Shards,浪之結晶
Weeping Cries of the Deep,迷霧中的泣聲
Mermaid's Tale,夢想的人魚海
Tower of Frozen Waves,冰浪之塔
Butterfly Brooch,摯友蝴蝶胸針
Moonlight Shards,月光結晶
Plasma Crystal Ball,紫光水晶球
Slumbering Moon's Invitation,沉睡的月神邀請
City of Wizards,魔法師之城
Cookies of Legend,傳奇餅乾們
Crimson Dragon Mask,怒角面具
Draconic Aura,龍之氣場
Pitaya Dragon Cookie's Nest,火龍果龍族餅乾的巢穴
Sniffly Cocoa Palm,哭哭椰子樹
Seasick Canoeing,暈船的獨木舟導覽
Ananas Dragon Cookie's Nest,鳳梨龍族餅乾的巢穴
Dragon Orb,龍眼寶珠
Petrification,被石化的餅乾們
Longan Palace,龍眼皇宮
Tales of the Lotus,水蓮花傳說
Dino Greetings,恐龍打招呼
Lotus Palace,百蓮城
Rambirdtan Handler Glove,馴鷹手套
Charmed Miners,被洗腦的勞動
Lychee Dragon Cookie's Cave,荔枝龍族餅乾的洞窟
Wrath of the Dragons,覺醒!龍之怒
Squishy Jelly Watch,果凍鐘錶
Tonic Spray,噴灑鎮定藥劑
TBD Hallway,時間管理局走廊
Hourglass of Aeternus Tempora,光陰沙漏
Clever Advice,巧妙的建議
Timecraft Garage,時光機維修站
Time Rend Scissors,時空混沌裁剪刀
Into a Time Pocket…,時間的坑洞
Broken Central Clock,壞掉的大時鐘
Time Manipulator,時間控制器
Destruction of a Pastless Future,棄息未來的毀滅
Messy TBD Director's Office,凌亂的時間管理局局室
Butterfly Key Relic,蝴蝶發條文物
Peak Engineer Performance,最厲害的技師
TBD Machine Room,時間管理局機房
Scovilsky Manuscript,史高維爾利斯基的秘笈
Labyrinth Golem Attack,壓制迷宮糖果泥人
Scovillia Quarters,史高維爾利亞宿舍
The Key to Unbreakable Faith,堅定不移的信念之鑰
Valiant Victor's Salvation,英勇勝者的救援
Crème Knights' Quarters,鮮奶油騎士宿舍
Grand Cookie Games Trophy,餅乾大戰水晶布丁獎盃
Cookie Windmill,餅乾大風車
Cookie Games Stadium,餅乾大站競技場
The Sunblade,太陽之劍
A Victory For You,為你奪得勝利
Temple of the Sun Central Arena,太陽神殿中央競技場
Golem Core,泥人的心臟
Securing the First Victory,奪下首勝
Parfaedia Quarters,帕菲迪亞宿舍
Arena of Glory,榮耀競技場
Soul Jam: Light of Destruction,靈魂果醬: 破壞之光
Cake Hound's Crown,蛋糕犬的王冠
Shadow of the Destroyer,毀滅將至
Land of Fire & Ruin,烈焰與破壞之地
Tower of Sweet Chaos,混沌的蛋糕塔
Surprise! Lassi Jar,驚喜的拉西罈
Puny Strength,微弱的力量
Kulfi Legends,庫爾菲猴的傳說
Simmering Lassi Springs,冒泡的拉西泉
City of Eternal Gold,永恆的黃金城市
Peach Baos,桃子餡饅頭
Soul Jam: Light of Apathy,靈魂果醬: 虛無之光
Noodle Cocoon,素麵繭
White Flour Fog,麵粉白霧
The Ivory Pagoda,白麵寺
Warm Wind Flower,溫暖的銀蓮花
Heartfelt Light,蘊含心意的燈光
Warmth of the Snowfield,雪原的溫暖
Frozen Mountain Depths,深邃雪山
Snowfall Lantern Tree,照亮雪原的燈火聖誕樹
Black Concoction,黑色湯藥
Milk Cart,香醇牛奶補給車
Dark Resolution,黑色決心
Glorious Return,榮耀歸來
The Days of Resolution and Dignity,決心和風範兼具的時代
Juicy Stamina Jellies,
Fateful Cookie Cutter,
Stolen Light of Truth,
Paper Puppet Troupe,
Atelier of Lies,
Heart Stained With Lies,
Shadow Milk Cookie Doll,
Overtaken Other-Realm,
Fragmented Soul,
Yogurt River of Rebirth,
Meat Jelly,
Concealer of Truth,
Radiant Light of Protection,
Broken Seal,
Puppet Theater Stage,
Storybook of Lies,
Light of Deceit,
Soul Jam: Light of Deceit,
Reversed Prophecy,
Shadow Milk Cookie's Tarot Card,
Spire of Deceit,
Flipped Coin,
Wolf in Sheep's Clothing,
Light of False Truths,
Truth Tainted with Lies,
Endless Game of Chess,
Towards the Heart of Paradise,
Facing the Past,
Shattered Shield,
Luscious Garden Heart Berry,
Jam Jar Lid Shield,
Light of True Passion,
Vibrant Hollyberry Palace,
Sugar Bowl Flower,
Passion Meets Sloth,
Inescapable Sweetness,
Sugar Paradise,
Mysterious Jewelry Box,
Cookie Stuck in Jam,
Soul Jam: Light of Sloth,
Freedom Blooms Again,
Collapsing Floor,
Burning Dough,
Faerie Glass Coffin
Silverbell Stump,
Mossy Silver Bridge,
A Single Lily,
Sudden Weather Change,
Strange Sea Soda Islands,
Butterfly Lantern,
Something Horrifying,
Clashing Leaders,
HMS Custard III,
Kulfi Red Bean Delight,
Banner of the Forsaken Oath,
Knight's Somber Lantern,
Spirit-cutting Sword,
Silver Fork Judgment,
Catacombs of Silence,
Seal Tree of the Fallen Emissaries,
Soul Jam: Light of Silence,

Macaron Hammer,馬卡龍槌子
Mischievous Ladybug,調皮瓢蟲
Golden Cheese Warehouse,黃金起司礦山儲存庫
Ritual of Life,神秘的甦醒
The Heir's Betrayal,繼承者的背叛
Hall of Ancient Heroes,燦爛輝煌的英雄神殿
Sugar Gnome Cake Shop,糖糖地精的蛋糕店
Magic Lettering Pens,繽紛的魔法擠花筆
Call of Destiny,命運的集結

Icky Sticky Jelly,黏膩果凍
Exceptional Cake Knife,秘藏蛋糕刀
Sugar Coated Snail Shell,蝸牛棒棒糖
Fiery Jelly Clump,炎熱果凍塊
Overhydrated Dough Swamp,泥濘的麵團沼澤
Ouch-Inducing Star Jelly,尖尖的星星糖
Burning Jelly Volcano,炙熱果凍火山
Flimsy Screwdriver,壞掉的黑糖螺絲起子
Reverse Timer,倒數計時器
Time Travel Ticket,時光旅行門票
Multi-Vitamin Honey Bomb,營養豐富的蜂蜜炸彈
Winding Key Shield,鋼製齒輪護盾
Pretzel Snare,椒鹽捲餅陷阱
Time Management Department,時間效率管理部
Ancient Healer's Gaze,古代治療師
Viney Vines,蛋白霜荊棘
Parsley Tea of Invigoration,活力香芹茶
Supreme Whipped Cream,瘋狂攪拌過的鮮奶油
Divine Light Crystal,聖光屏障
Breath of the Flute,草笛之律
Guardian Tree's Blessing,守護樹的恩典
Bear Jelly Ice Cream,熊熊果凍冰淇淋
Emergency Lifebuoy,救生甜甜圈
Lucky Pearls,幸運珍珠
Sugar Crystal Lamp,南瓜糖提燈
Octo-Ink Spray,墨魚汁噴灌
Fallen Ice Statue,毀壞的冰雕
Sugar Glass Dome,糖糖玻璃穹頂
BONUS Coin,BONUS硬幣
Violet Dragonspout,紫色龍捲風
Dragonfly Candy Brooch,蜻蜓糖果胸針
Pastry Boomerang,可頌迴旋鏢
Forbidden Grimoire,魔法禁書
Hidden Warpgate,隱藏的瞬間移動裝置
Windswept Valley,風之溪谷
Hot Jellyco Missile,
Essence of Conflagration,
Fire Spirit Cookie's Staff,
Dragon's Breath,
Restored Power of Fire,
Frozen Flame,
Power Unleashed,
Into the Depths,
Miraculous Nutrient Ampoule,
Essence of Rejuvenation,
Budding Future,
Tightly Tied Vine,
Vined Cavern,
Millennial Tree Cookie's Gift,
Millennial Jade Deer's Wrath,
Forest of Life,
Windgrass,
Cape of the Vanquisher,
Essence of the Tempest,
Wind's Grace Earrings,
Hindering Darkness,
Piercing Arrow of Purity,
Bad Omen,
Dark Enchantress Laboratory,
Shimmering Moonlit Coral,
Iridescent Pearl,
Essence of the Ocean,
Bubble Wave Shell,
Revelation of the Seas,
Tower of Frozen Waves,
Curse of the Seas,
Tearcrown,
Little Star,
Lunar Compendium,
Essence of Moonlight,
Delicate Glass Flower,
Inside the Clock Tower,
Reunion of Star and Moon,
Sleeping Moon,
Wizard Archives,
